Champion,Ability,Spell Name,Has CC?,CC Type,Ability Description,Cooldown (Seconds)
Rengar,R,Thrill of the Hunt,❌,None,"Rengar's predatory instincts take over, <font color='#cd90ee'>Camouflaging</font> him and revealing the nearest enemy champion in a large radius around him. During Thrill of the Hunt, Rengar gains Move Speed and he can leap to the tracked enemy without being in brush, reducing their armor.",110/100/90
Riven,,,,,,
Riven,Q,Broken Wings,❌,None,Riven lashes out in a series of strikes. This ability can be reactivated three times in a short time frame with the third hit knocking back nearby enemies.,13/13/13/13/13
Riven,W,Ki Burst,✅,stun,"Riven emits a Ki Burst, damaging and stunning nearby enemies.",11/10/9/8/7
Riven,E,Valor,❌,None,Riven steps forward a short distance and blocks incoming damage.,10/9/8/7/6
Riven,R,Blade of the Exile,❌,None,"Riven empowers her keepsake weapon with energy, and gains Attack Damage and Range. During this time, she also gains the ability to use Wind Slash, a powerful ranged attack, once.",120/90/60
Rumble,,,,,,
Rumble,Q,Flamespitter,❌,None,"Rumble torches opponents in front of him, dealing magic damage in a cone for 3 seconds. While in Danger Zone this damage is increased.",10/9/8/7/6
Rumble,W,Scrap Shield,❌,None,"Rumble pulls up a shield, protecting him from damage and granting him a quick burst of speed. While in Danger Zone, the shield strength and speed bonus is increased.",6/6/6/6/6
Rumble,E,Electro Harpoon,✅,slow,"Rumble launches a harpoon, electrocuting his target with magic damage, slowing their Move Speed, and reducing their Magic Resist. Rumble can carry 2 harpoons at a time. While in Danger Zone the damage and slow percentage is increased.",0.5/0.5/0.5/0.5/0.5
Rumble,R,The Equalizer,✅,slow,"Rumble fires off a group of rockets, creating a wall of flames that damages and slows enemies.",130/105/80
Ryze,,,,,,
Ryze,Q,Overload,❌,None,"Passively, Ryze's other basic abilities reset the cooldown of Overload and charge a rune. When Ryze casts Overload with 2 runes charged, he gains a brief burst of Move Speed.<br><br>On cast, Ryze throws a charge of pure energy in a line, dealing damage to the first enemy struck. If the target has Flux on it, Overload deals extra damage and bounces to nearby enemies with Flux.",5/5/5/5/5
Ryze,W,Rune Prison,✅,"slow, root","Ryze traps a target in a cage of runes, damaging them and slowing their movement. If the target has Flux on it, they are instead rooted.",11/10.5/10/9.5/9
Ryze,E,Spell Flux,❌,None,Ryze releases an orb of pure magical power that damages an enemy and debuffs all nearby enemies. Ryze's spells have additional effects against the debuffed enemy.,3.5/3.25/3/2.75/2.5
Ryze,R,Realm Warp,❌,None,"Passively, Overload deals even more damage against targets with Flux.<br><br>On cast, Ryze creates a portal to a nearby location. After a few seconds, allies standing near the portal are teleported to the target location.",180/160/140
Samira,,,,,,
Samira,Q,Flair,❌,None,"Samira fires a shot or swings her sword, dealing damage. If cast during Wild Rush, strike all enemies in her path upon completion.",6/5/4/3/2
Samira,W,Blade Whirl,❌,None,"Samira slashes around her, damaging enemies and destroying enemy missiles.",30/28/26/24/22
Samira,E,Wild Rush,❌,None,"Samira dashes through an enemy (including structures), slashing enemies she passes through and gaining Attack Speed. Killing an enemy champion refreshes this ability's cooldown.",20/18/16/14/12
Samira,R,Inferno Trigger,❌,None,"Samira unleashes a torrent of shots from her weapons, wildly shooting all enemies surrounding her.",5/5/5
Sejuani,,,,,,
Sejuani,Q,Arctic Assault,❌,None,"Sejuani charges forward, knocking enemies into the air. The charge stops after hitting an enemy champion.",19/17.5/16/14.5/13
Sejuani,W,Winter's Wrath,✅,slow,"Sejuani swings her mace twice, dealing damage, slowing enemies and applying Frost stacks.",9/8/7/6/5
Sejuani,E,Permafrost,✅,stun,Sejuani freezes and stuns an enemy champion that has maximum Frost stacks.,1.5/1.5/1.5/1.5/1.5
Sejuani,R,Glacial Prison,✅,"stun, slow",Sejuani throws her bola that freezes and stuns the first champion hit and creates an ice storm that slows other enemies.,130/110/90
Senna,,,,,,
Senna,Q,Piercing Darkness,❌,None,"From the twin barrels of her Relic Cannon, Senna fires a unified beam of light and shadow through a target, healing allies and damaging enemies.",15/15/15/15/15
Senna,W,Last Embrace,✅,root,"Senna sends forth a wave of Black Mist. If it hits an enemy it latches onto them hungrily, rooting them and everything nearby after a brief delay.",11/11/11/11/11
Senna,E,Curse of the Black Mist,❌,None,"Senna draws the Mist she has stored in her weapon into a storm around her, embracing darkness and becoming a wraith within. Allies who enter the area are camouflaged and also appear as wraiths as the Mist shrouds them. Wraiths gain increased Move Speed, are unselectable, and hide their identities.",26/24.5/23/21.5/20
Senna,R,Dawning Shadow,❌,None,"Senna calls upon the relic stones of fallen Sentinels, splitting her relic cannon into a holy array of shadow and light. She then fires a global beam that shields allies from harm, while damaging enemies caught in the center.",140/120/100
Seraphine,,,,,,
Seraphine,Q,High Note,❌,None,Seraphine deals damage in an area.,8/7.5/7/6.5/6
Seraphine,W,Surround Sound,❌,None,Seraphine Shields and Hastes nearby allies. If she is already Shielded she will Heal nearby allies as well.,22/22/22/22/22
Seraphine,E,Beat Drop,❌,None,Seraphine deals damage and impairs the movement of enemies in a line.,11/10.5/10/9.5/9
Seraphine,R,Encore,✅,charm,"Seraphine deals damage and charms enemies hit, refreshing the range with every allied or enemy champion hit.",160/140/120
Sett,,,,,,
Sett,Q,Knuckle Down,❌,None,Sett's next two attacks deal additional damage based off of the target's max health. Sett also gains Move Speed while moving towards enemy champions.,9/8/7/6/5
Sett,W,Haymaker,❌,None,"Sett passively stores damage he takes as Grit. On cast, Sett expends all stored Grit to gain a shield and punch an area, dealing true damage in the center and physical damage on the sides.",18/16.5/15/13.5/12
Sett,E,Facebreaker,✅,"stun, slow","Sett pulls in all enemies on opposite sides of him, dealing damage and stunning them. If enemies were only on one side, they are slowed instead of stunned.",16/14.5/13/11.5/10
Sett,R,The Show Stopper,✅,slow,"Sett carries an enemy champion through the air and slams them into the ground, dealing damage and slowing all enemies near where they land.",120/100/80
Shaco,,,,,,
Shaco,Q,Deceive,❌,None,"Shaco becomes Invisible and teleports to target location.<br><br>His first attack while Invisible is empowered, dealing bonus damage and critically striking if he attacks from behind.",12/11.5/11/10.5/10
Shaco,W,Jack In The Box,✅,fear,"Shaco creates a hidden animated Jack-in-the-Box. When triggered, it will fear and attack nearby enemies.",15/15/15/15/15
Shaco,E,Two-Shiv Poison,✅,slow,"Shaco's Shivs passively poison targets on hit, slowing their Move Speed. He can throw his Shivs to deal damage and poison the target. The thrown Shiv deals bonus damage if the target is below 30% health.",8/8/8/8/8
Shaco,R,Hallucinate,❌,None,"Shaco creates an illusion of himself near him, which can attack nearby enemies (Deals reduced damage to turrets).  Upon death, it explodes, spawning three mini Jack in the Boxes and dealing damage to nearby enemies.",100/90/80
Shen,,,,,,
Shen,Q,Twilight Assault,✅,slow,"Shen recalls his spirit blade to attack with it, dealing damage based on the target's max health. The attacks are greatly empowered if it collides with an enemy champion, and all collided enemies are slowed while running away from Shen.",8/7.25/6.5/5.75/5
Shen,W,Spirit's Refuge,❌,None,Attacks that would hit Shen or his allies near his spirit blade are blocked.,18/16.5/15/13.5/12
Shen,E,Shadow Dash,✅,taunt,"Shen dashes in a direction, taunting enemies in his path.",18/16/14/12/10
Shen,R,Stand United,❌,None,"Shen shields target allied champion from incoming damage, and soon after teleports to their location.",200/180/160
Shyvana,,,,,,
Shyvana,Q,Twin Bite,❌,None,Shyvana strikes twice on her next attack and grants herself Attack Speed for her next attacks. Basic attacks reduce the cooldown of Twin Bite by 0.5 seconds.<br><br><font color='#FF3300'>Dragon Form: </font>Twin Bite cleaves all units in front of Shyvana.,8/7.5/7/6.5/6
Shyvana,W,Burnout,❌,None,"Shyvana surrounds herself in fire, dealing magic damage per second to nearby enemies and moving faster for 3 seconds, part of this damage is applied again when Shyvana basic attacks an enemy with Burnout active. The Move Speed reduces over the duration of the spell. Basic attacks extend the duration of Burnout. <br><br><font color='#FF3300'>Dragon Form: </font>Burnout grows in size.",12/12/12/12/12
Shyvana,E,Flame Breath,❌,None,"Shyvana unleashes a fireball that deals damage to all enemies it encounters and leaves cinders on the target, marking them for 5 seconds. Shyvana's basic attacks on marked targets deal a percentage of their maximum Health as damage on-hit.<br><br><font color='#FF3300'>Dragon Form: </font>Flame Breath explodes on impact or at target location, dealing bonus damage and scorching the earth for a short duration.",12/11/10/9/8
Shyvana,R,Dragon's Descent,❌,None,Shyvana transforms into a dragon and takes flight to a target location. Enemies along her path take damage and are knocked toward her target location.<br><br>Shyvana passively gains Fury per second and gains 2 Fury on basic attack.,0/0/0
Singed,,,,,,
Singed,Q,Poison Trail,❌,None,"Leaves a trail of poison behind Singed, dealing damage to enemies caught in the path.",0/0/0/0/0
Singed,W,Mega Adhesive,✅,slow,"Throws a vial of mega adhesive on the ground, slowing and grounding enemies who walk on it.",17/16/15/14/13
Singed,E,Fling,✅,root,"Damages target enemy unit and flings them into the air behind Singed. If the target Singed flings lands in his Mega Adhesive, they are also rooted.",10/9.5/9/8.5/8
Singed,R,Insanity Potion,❌,None,"Singed drinks a potent brew of chemicals, granting him increased combat stats, and making his Poison Trail apply Grievous Wounds.",100/100/100
Sion,,,,,,
Sion,Q,Decimating Smash,✅,stun,"Sion charges a powerful swing in an area in front of himself that will deal damage to enemies when released. If he charges for enough time, enemies hit by the swing will also be knocked up and stunned.",10/9/8/7/6
Sion,W,Soul Furnace,❌,None,"Sion shields himself and can reactivate after 3 seconds to deal Magic Damage to enemies nearby. When Sion kills enemies, he passively gains maximum Health.",15/14/13/12/11
Sion,E,Roar of the Slayer,✅,slow,"Sion fires a short range shockwave that damages and slows and reduces the Armor of the first enemy hit. If the shockwave hits a minion or monster, it will be knocked back, damaging, slowing, and reducing the Armor of all enemies that it passes through.",12/11/10/9/8
Sion,R,Unstoppable Onslaught,❌,None,"Sion charges in a direction, ramping up speed over time. He can steer his charge slightly with the mouse cursor location. When he collides with an enemy he deals damage and knocks them up based on the distance he has charged.",140/100/60
Sivir,,,,,,
Sivir,Q,Boomerang Blade,❌,None,"Sivir hurls her crossblade like a boomerang, dealing damage each way.",10/9.5/9/8.5/8
Sivir,W,Ricochet,❌,None,"Sivir's next few basic attacks gain additional attack speed and bounce to nearby targets, dealing reduced damage while bouncing.",12/12/12/12/12
Sivir,E,Spell Shield,❌,None,Creates a magical barrier that blocks a single enemy ability cast on Sivir. She receives health and a burst of movement speed if a spell is blocked.,24/22.5/21/19.5/18
Sivir,R,On The Hunt,❌,None,"Sivir leads her allies in battle, granting them a surge of Move Speed for a period of time. In addition, Sivir's attacks reduce her spell cooldowns.",120/100/80
Skarner,,,,,,
Skarner,Q,Shattered Earth / Upheaval,❌,None,Skarner rips a boulder from the earth that empowers his attacks and can be thrown as a powerful projectile.,13/11.5/10/8.5/7
Skarner,W,Seismic Bastion,✅,slow,Skarner gains a shield and creates an earthquake whose shockwave damages and slows foes.,10/9/8/7/6
Skarner,E,Ixtal's Impact,✅,stun,"Skarner charges forward and passes through terrain. If he collides with a champion or large monster, he'll slam them into the next wall he hits to damage and stun them.",22/21/20/19/18
Skarner,R,Impale,✅,suppress,"Skarner's tails lash forward to suppress enemy champions. Once suppressed, the victims will be dragged along by Skarner as he moves around.",120/105/90
Smolder,,,,,,
Smolder,Q,Super Scorcher Breath,❌,None,"Smolder breathes fire on an enemy. As he gains more stacks, this ability becomes more powerful.",5.5/5/4.5/4/3.5
Smolder,W,Achooo!,❌,None,Smolder lets out an adorable flaming sneeze that explodes when hitting enemy champions.,14/13/12/11/10
Smolder,E,"Flap, Flap, Flap",❌,None,Smolder takes flight ignoring terrain and bombarding the lowest health enemy.,24/22/20/18/16
Smolder,R,MMOOOMMMM!,✅,slow,"Smolder calls his mom to breath fire from above, dealing extra damage and slowing enemies in the center of her fire.",120/120/120
Sona,,,,,,
Sona,Q,Hymn of Valor,❌,None,"Sona plays the Hymn of Valor, sends out bolts of sound, dealing magic damage to two nearby enemies, prioritizing champions and monsters. Sona gains a temporary aura that grants allies tagged by the zone bonus damage on their next attack against enemies.",8/8/8/8/8
Sona,W,Aria of Perseverance,❌,None,"Sona plays the Aria of Perseverance, sending out protective melodies, healing Sona and a nearby wounded ally. Sona gains a temporary aura that grants allies tagged by the zone a temporary shield.",10/10/10/10/10
Sona,E,Song of Celerity,❌,None,"Sona plays the Song of Celerity, granting nearby allies bonus Move Speed. Sona gains a temporary aura that grants allied champions tagged by the zone bonus Move Speed.",14/14/14/14/14
Sona,R,Crescendo,✅,stun,"Sona plays her ultimate chord, stunning enemy champions and forcing them to dance and dealing magic damage to them. Each rank reduces the base cooldown of Sona's basic abilities.",140/120/100
Soraka,,,,,,
Soraka,Q,Starcall,✅,slow,"A star falls from the sky at the target location dealing magic damage and slowing enemies. If an enemy champion is hit by Starcall, Soraka recovers Health.",8/7/6/5/4
Soraka,W,Astral Infusion,❌,None,Soraka sacrifices a portion of her own health to heal another friendly champion.,6/5/4/3/2
Soraka,E,Equinox,✅,"root, silence","Creates a zone at a location that silences all enemies inside. When the zone expires, all enemies still inside are rooted.",20/19/18/17/16
Soraka,R,Wish,❌,None,"Soraka fills her allies with hope, instantly restoring health to herself and all allied champions.",150/135/120
Swain,,,,,,
Swain,Q,Death's Hand,❌,None,Swain unleashes several bolts of eldritch power that pierce through enemies. Enemies hit take more damage for each bolt they are struck by.,7/6/5/4/3
Swain,W,Vision of Empire,✅,slow,Swain opens a demon eye that deals damage and slows enemies. Champions hit are revealed and also grant Swain a Soul Fragment.,22/21/20/19/18
Swain,E,Nevermove,✅,root,Swain launches a wave of demonic power forward. It then returns to Swain and roots enemies it hits. Swain can then choose to pull all rooted champions closer. This ability has a shorter cooldown during Demonic Ascension.,12/11.5/11/10.5/10
Swain,R,Demonic Ascension,✅,slow,"Swain transforms into a demon and drains health from nearby enemy champions, minions, and neutral monsters. Swain can cast Demonflare to decimate and slow nearby enemies with a nova of soulfire. This form is indefinite as long as Swain drains enemy champions.",120/120/120
Sylas,,,,,,
Sylas,Q,Chain Lash,✅,slow,"Sylas lashes his chains out, intersecting at his targeted location dealing damage to and slowing enemies. <br><br>After a delay, magical energy explodes from the intersection point dealing damage.",10/9/8/7/6
Sylas,W,Kingslayer,❌,None,Sylas lunges at an enemy with magical force dealing damage and healing himself against enemy champions.,12/10.5/9/7.5/6
Sylas,E,Abscond / Abduct,❌,None,"Sylas dashes to a location. Sylas can recast the ability to throw his chains out, pulling himself to an enemy he hits.",13/12/11/10/9
Sylas,R,Hijack,❌,None,Sylas steals the enemy's ultimate ability and can cast it freely.,80/55/30
Syndra,,,,,,
Syndra,Q,Dark Sphere,❌,None,Syndra conjures a Dark Sphere dealing magic damage. The sphere remains and can be manipulated by her other powers.,7/7/7/7/7
Syndra,W,Force of Will,✅,slow,Syndra picks up and throws a Dark Sphere or enemy minion dealing magic damage and slowing the Move Speed of enemies.,12/11/10/9/8
Syndra,E,Scatter the Weak,✅,stun,Syndra knocks enemies and Dark Spheres back dealing magic damage. Enemies hit by Dark Spheres become stunned.,17/17/17/17/17
Syndra,R,Unleashed Power,❌,None,Syndra bombards an enemy Champion with all of her Dark Spheres.,120/100/80
TahmKench,,,,,,
TahmKench,Q,Tongue Lash,✅,"stun, slow","Tahm Kench lashes out with his tongue, damaging and slowing the first unit hit and healing himself if he strikes an enemy champion.<br><br>Applies a stack of  <spellName>An Acquired Taste</spellName> to enemy champions. If the champion already has 3 stacks of <spellName>An Acquired Taste</spellName>, they are stunned and the stacks are consumed.",7/6.5/6/5.5/5
TahmKench,W,Abyssal Dive,❌,None,"Dive down and then re-appear at target location, damaging and knocking up all enemies in an area.",21/20/19/18/17
TahmKench,E,Thick Skin,❌,None,<passive>Passive:</passive> Tahm Kench stores a percent of the damage he takes and heals based on it while out of combat.<br><br><active>Active:</active> Convert all stored damage into a temporary shield.,3/3/3/3/3
TahmKench,R,Devour,❌,None,"Tahm Kench devours a champion for a few seconds, dealing magic damage if they are an enemy, or shielding them if they are an ally.",0/0/0
Taliyah,,,,,,
Taliyah,Q,Threaded Volley,✅,slow,"Taliyah throws a volley of rocks in a target direction, moving freely as she casts. This creates Worked Ground below her. If Taliyah casts Threaded Volley on Worked Ground, she consumes the ground to throw a stronger boulder that slows enemies.",7/6/5/4/3
Taliyah,W,Seismic Shove,❌,None,Taliyah causes an area of ground to erupt and throws enemies within it in a direction of her choosing.,14/12.5/11/9.5/8
Taliyah,E,Unraveled Earth,✅,"stun, slow","Taliyah creates a slowing minefield. If enemies dash through it or are knocked through it, the mines explode and stun them.",14/14/14/14/14
Taliyah,R,Weaver's Wall,❌,None,Taliyah creates a very long wall and then surfs it.,180/150/120
Talon,,,,,,
Talon,Q,Noxian Diplomacy,❌,None,"Talon stabs the target unit. If they are within melee range, this attack deals critical damage. If they are outside melee range, Talon will leap at his target before stabbing them. Talon refunds some health and cooldown if this ability kills the target.",8/7.5/7/6.5/6
Talon,W,Rake,✅,slow,"Talon sends out a volley of daggers that then return back to him, dealing physical damage every time it passes through an enemy. The returning blades deal bonus damage and slow units hit.",9/8.5/8/7.5/7
Talon,E,Assassin's Path,❌,None,"Talon vaults over any terrain or structure, up to a max distance. This ability has a low cooldown, but puts the used terrain on a long cooldown.",0/0/0/0/0
Talon,R,Shadow Assault,❌,None,"Talon disperses a ring of blades and becomes Invisible while gaining additional Move Speed. When Talon emerges from Invisibility, the blades converge on his location. Each time the blades move, Shadow Assault deals physical damage to enemies hit by at least one blade.",100/80/60
Taric,,,,,,
Taric,Q,Starlight's Touch,❌,None,Heals nearby allied champions based on charges stored. Bravado-empowered attacks grant a charge of Starlight's Touch.,3/3/3/3/3
Taric,W,Bastion,❌,None,Passively increase the Armor of Taric and any allied champion with Bastion.<br><br>Actively shields an ally and grants them Bastion for as long as they remain near Taric. Taric's spells also cast off the ally with Bastion.,15/15/15/15/15
Taric,E,Dazzle,✅,stun,"Taric readies a beam of starlight that, after a brief delay, deals magic damage and stuns enemies.",16/15/14/13/12
Taric,R,Cosmic Radiance,❌,None,"Pulses cosmic energy onto nearby allied champions after a delay, making them invulnerable for a short duration.",180/150/120
Teemo,,,,,,
Teemo,Q,Blinding Dart,✅,blind,"Obscures an enemy's vision with a powerful venom, dealing damage to the target unit and blinding it for the duration.",7/7/7/7/7
Teemo,W,Move Quick,❌,None,"Teemo scampers around, passively increasing his Move Speed until he is struck by an enemy champion or turret. Teemo can sprint to gain bonus Move Speed that isn't stopped by being struck for a short time.",14/14/14/14/14
Teemo,E,Toxic Shot,❌,None,"Each of Teemo's attacks will poison the target, dealing damage on impact and each second after for 4 seconds.",0/0/0/0/0
Teemo,R,Noxious Trap,✅,slow,"Teemo throws an explosive poisonous trap using one of the mushrooms stored in his pack. If an enemy steps on the trap, it will release a poisonous cloud, slowing enemies and damaging them over time. If Teemo throws a mushroom onto another mushroom it will bounce, gaining additional range.",0.25/0.25/0.25
Thresh,,,,,,
Thresh,Q,Death Sentence,❌,None,Thresh binds an enemy in chains and pulls them toward him. Activating this ability a second time pulls Thresh to the enemy.,19/16.5/14/11.5/9
Thresh,W,Dark Passage,❌,None,Thresh throws out a lantern that shields nearby allied Champions from damage. Allies can click the lantern to dash to Thresh.,21/20/19/18/17
Thresh,E,Flay,❌,None,"Thresh's attacks wind up, dealing more damage the longer he waits between attacks. When activated, Thresh sweeps his chain, knocking all enemies hit in the direction of the blow.",13/12.25/11.5/10.75/10
Thresh,R,The Box,✅,slow,A prison of walls that slow and deal damage if broken.,120/100/80
Tristana,,,,,,
Tristana,Q,Rapid Fire,❌,None,"Tristana fires her weapon rapidly, increasing her Attack Speed for a short time.",20/19/18/17/16
Tristana,W,Rocket Jump,✅,slow,"Tristana fires at the ground to propel her to a distant location, dealing damage and slowing surrounding units for a brief period where she lands.",22/20/18/16/14
Tristana,E,Explosive Charge,❌,None,"When Tristana kills a unit, her cannonballs burst into shrapnel, dealing damage to surrounding enemies. Can be activated to place a bomb on a target enemy that explodes after a short duration dealing damage to surrounding units.",16/15.5/15/14.5/14
Tristana,R,Buster Shot,❌,None,"Tristana loads a massive cannonball into her weapon and fires it at an enemy unit. This deals Magic Damage and knocks the target back. If the target is carrying the Explosive Charge bomb, the bomb detonation radius is doubled.",100/100/100
Trundle,,,,,,
Trundle,Q,Chomp,✅,slow,"Trundle bites his opponent, dealing damage, briefly slowing and sapping some of their Attack Damage.",3.5/3.5/3.5/3.5/3.5
Trundle,W,Frozen Domain,❌,None,"Trundle turns target location into his domain, gaining Attack Speed, Move Speed, and increased healing from all sources while on it.",16/15/14/13/12
Trundle,E,Pillar of Ice,✅,slow,"Trundle creates an ice pillar at target location, becoming impassable terrain and slowing all nearby enemy units.",24/22/20/18/16
Trundle,R,Subjugate,❌,None,"Trundle immediately steals a percent of his target's Health, Armor and Magic Resistance. Over the next 4 seconds the amount of Health, Armor, and Magic Resistance stolen is doubled.",120/100/80
Tryndamere,,,,,,
Tryndamere,Q,Bloodlust,❌,None,"Tryndamere thrives on the thrills of combat, increasing his Attack Damage as he is more and more wounded. He can cast Bloodlust to consume his Fury and heal himself.",12/12/12/12/12
Tryndamere,W,Mocking Shout,❌,None,"Tryndamere lets out an insulting cry, decreasing surrounding champions' Attack Damage. Enemies with their backs turned to Tryndamere also have their Move Speed reduced.",14/14/14/14/14
Tryndamere,E,Spinning Slash,❌,None,"Tryndamere slices toward a target unit, dealing damage to enemies in his path.",12/11/10/9/8
Tryndamere,R,Undying Rage,❌,None,"Tryndamere's lust for battle becomes so strong that he is unable to die, no matter how wounded he becomes.",120/100/80
TwistedFate,,,,,,
TwistedFate,Q,Wild Cards,❌,None,"Twisted Fate throws three cards, dealing damage to each enemy unit they pass through.",6/5.75/5.5/5.25/5
TwistedFate,W,Pick a Card,❌,None,"Twisted Fate chooses a magic card from his deck, and uses that for his next attack, causing bonus effects.",6/6/6/6/6
TwistedFate,E,Stacked Deck,❌,None,"Every 4 attacks, Twisted Fate deals bonus damage. In addition, his Attack Speed is increased.",0/0/0/0/0
TwistedFate,R,Destiny,❌,None,"Twisted Fate predicts the fortunes of his foes, revealing all enemy champions and enabling the use of Gate, which teleports Twisted Fate to any target location in 1.5 seconds.",180/150/120
Twitch,,,,,,
Twitch,Q,Ambush,❌,None,"Twitch becomes Camouflaged for a short duration and gains Move Speed. When leaving Camouflage, Twitch gains Attack Speed for a short duration.<br><br>When an enemy champion with Deadly Venom dies, Ambush's cooldown is reset.",16/16/16/16/16
Twitch,W,Venom Cask,✅,slow,"Twitch hurls a cask of venom that explodes in an area, slowing targets and applying deadly venom to the target.",13/12/11/10/9
Twitch,E,Contaminate,❌,None,Twitch wreaks further havoc on poisoned enemies with a blast of his vile diseases.,12/11/10/9/8
Twitch,R,Spray and Pray,❌,None,"Twitch unleashes the full power of his crossbow, shooting bolts over a great distance that pierce all enemies caught in their path.",90/90/90
Udyr,,,,,,
Udyr,Q,Wilding Claw,❌,None,"Udyr gains attack speed and his next two attacks deal bonus physical damage. Recast: Gain even more attack speed, and the next two attacks call lightning to strike the target.",6/6/6/6/6/6
Udyr,W,Iron Mantle,❌,None,Udyr gains a shield and his next two attacks heal him. Recast: Gain an even bigger shield and heal based on max health over the next couple seconds.,6/6/6/6/6/6
Udyr,E,Blazing Stampede,✅,stun,Udyr gains movement speed and his first attack against each target will Stun them. Recast: Gain even more movement speed and immunity to immobilizing effects for a couple seconds. ,6/6/6/6/6/6
Udyr,R,Wingborne Storm,✅,slow,"Udyr surrounds himself in a glacial storm, damaging and slowing nearby enemies. Recast: Empower and unleash the storm, causing it to track enemies and deal additional damage.",6/6/6/6/6/6
Urgot,,,,,,
Urgot,Q,Corrosive Charge,✅,slow,"Fires an explosive charge at the target location, dealing physical damage and slowing enemies caught in the explosion.",10/9.5/9/8.5/8
Urgot,W,Purge,✅,slow,Urgot slows himself while he unloads his weapon on nearby enemies. Prioritizes enemy champions Urgot has recently struck with other abilities and triggers Echoing Flames.,12/9/6/3/0
Urgot,E,Disdain,❌,None,"Urgot charges in a direction, shielding himself and trampling non-champion enemies. If he catches an enemy champion, he will stop and hurl them out of his way.",16/15.5/15/14.5/14
Urgot,R,Fear Beyond Death,❌,None,"Urgot fires a chem-drill that impales the first enemy champion hit. If that champion falls below a health threshold, Urgot judges them weak and can execute them.",100/85/70
Varus,,,,,,
Varus,Q,Piercing Arrow,❌,None,Varus readies and then fires a powerful shot that gains extra range and damage the longer he spends preparing to fire.,16/15/14/13/12
Varus,W,Blighted Quiver,❌,None,"Passive: Varus' basic attacks deal bonus magic damage and apply Blight. Varus' other abilities detonate Blight, dealing magic damage based on the target's maximum Health. Active: Varus empowers his next Piercing Arrow.",40/40/40/40/40
Varus,E,Hail of Arrows,✅,slow,Varus fires a hail of arrows that deal physical damage and desecrate the ground. Desecrated ground slows enemies' Move Speed and reduces their self healing and regeneration.,18/16/14/12/10
Varus,R,Chain of Corruption,❌,None,"Varus flings out a damaging tendril of corruption that immobilizes the first enemy champion hit and then spreads towards nearby uninfected champions, immobilizing them too on contact.",100/80/60
Vayne,,,,,,
Vayne,Q,Tumble,❌,None,"Vayne tumbles, maneuvering to carefully place her next shot. Her next attack deals bonus damage.",6/5/4/3/2
Vayne,W,Silver Bolts,❌,None,"Vayne tips her bolts with a rare metal, toxic to evil things. The third consecutive attack or ability against the same target deals a percentage of the target's max health as bonus true damage.",0/0/0/0/0
Vayne,E,Condemn,✅,stun,"Vayne draws a heavy crossbow from her back, and fires a huge bolt at her target, knocking them back and dealing damage. If they collide with terrain, they are impaled, dealing bonus damage and stunning them.",20/18/16/14/12
Vayne,R,Final Hour,❌,None,"Readying herself for an epic confrontation, Vayne gains increased Attack Damage, Invisibility during Tumble, reduced Tumble cooldown, and more bonus Move Speed from Night Hunter",100/85/70
Veigar,,,,,,
Veigar,Q,Baleful Strike,❌,None,Veigar unleashes a bolt of dark energy that deals magic damage to the first two enemies hit. Units killed by this bolt grant Veigar some ability power permanently.,6/5.5/5/4.5/4
Veigar,W,Dark Matter,❌,None,"Veigar calls a great mass of dark matter to fall from the sky to the target location, dealing magic damage when it lands. Stacks of Phenomenal Evil reduce Dark Matter's cooldown.",0/0/0/0/0
Veigar,E,Event Horizon,✅,stun,"Veigar twists the edges of space, creating a cage that Stuns enemies that pass through.",20/18.5/17/15.5/14
Veigar,R,Primordial Burst,❌,None,"Blasts target enemy champion, dealing a large amount of magic damage, increasing based on the target's missing health.",100/80/60
Velkoz,,,,,,
Velkoz,Q,Plasma Fission,✅,slow,Vel'Koz shoots a bolt of plasma that splits in two on reactivation or upon hitting an enemy. The bolt slows and damages on hit.,7/7/7/7/7
Velkoz,W,Void Rift,❌,None,"Vel'Koz opens a rift to the void that deals an initial burst of damage, then explodes for a second burst of damage after a delay.",1.5/1.5/1.5/1.5/1.5
Velkoz,E,Tectonic Disruption,❌,None,"Vel'Koz causes an area to explode, knocking up enemies, and knocking close enemies slightly away.",14/13.5/13/12.5/12
Velkoz,R,Life Form Disintegration Ray,❌,None,Vel'Koz unleashes a channelled beam that follows the cursor for 2.5 seconds that deals magic damage. Organic Deconstruction Researches enemy champions causing them to take true damage instead.,100/90/80
Vex,,,,,,
Vex,Q,Mistral Bolt,❌,None,Launch a damaging missile that accelerates mid-flight.,8/7/6/5/4
Vex,W,Personal Space,❌,None,Gain a shield and damage nearby enemies.,16/15/14/13/12
Vex,E,Looming Darkness,✅,slow,Summon a damaging and slowing zone that applies Gloom to enemies.,13/13/13/13/13
Vex,R,Shadow Surge,❌,None,Fire a missile that marks an enemy champion.  Recast to dash to them and deal damage.,140/120/100
Vi,,,,,,
Vi,Q,Vault Breaker,❌,None,"Vi charges her gauntlets and unleashes a vault shattering punch, carrying her forward. Enemies she hits are knocked back and receive a stack of Denting Blows.",12/10.5/9/7.5/6
Vi,W,Denting Blows,❌,None,"Vi's punches break her opponent's Armor, dealing bonus damage and granting her Attack Speed.",0/0/0/0/0
Vi,E,Relentless Force,❌,None,"Vi's next attack blasts through her target, dealing damage to enemies behind it.",1/1/1/1/1
